AgencyName,Murder,Rape,Robbery,Assault,Burglary,Larceny,Auto Theft,Total,Population,Year,County
DAYTON PD,0,1,3,10,47,155,31,247,8464,2019,Liberty County
MATAGORDA CO SO,0,19,6,40,91,214,27,397,14241,2019,Matagorda County
VAN VLECK ISD PD,0,0,0,0,0,4,0,4,0,2019,Matagorda County
BAY CITY ISD PD,0,0,0,14,3,4,0,21,0,2019,Matagorda County
PALACIOS PD,0,2,0,13,14,80,0,109,4561,2019,Matagorda County
BAY CITY PD,0,19,6,49,142,537,26,779,17501,2019,Matagorda County
OAK RIDGE NORTH PD,0,0,1,2,2,33,2,40,3174,2019,Montgomery County
MONTGOMERY PD,0,1,1,5,5,16,3,31,1102,2019,Montgomery County
WILLIS PD,0,6,5,16,28,116,12,183,6587,2019,Montgomery County
MONTGOMERY CO SO,12,74,103,547,1052,3366,558,5712,484891,2019,Montgomery County
SPLENDORA PD,0,1,2,5,11,6,12,37,2199,2019,Montgomery County
MAGNOLIA PD,0,0,2,5,6,7,8,28,2218,2019,Montgomery County
CONROE ISD PD,0,19,2,101,4,95,0,221,0,2019,Montgomery County
CONROE PD,2,40,50,122,412,1848,156,2630,90900,2019,Montgomery County
ROMAN FOREST PD,0,0,0,3,0,8,1,12,2031,2019,Montgomery County
PATTON VILLAGE PD,0,1,0,4,2,13,6,26,2095,2019,Montgomery County
SHENANDOAH PD,0,5,3,1,17,225,21,272,3077,2019,Montgomery County
LIVINGSTON PD,1,6,2,8,13,254,30,314,5112,2019,Polk County
CORRIGAN PD,0,2,0,9,5,17,8,41,1605,2019,Polk County
POLK CO SO,5,33,7,30,214,376,81,746,40751,2019,Polk County
ONALASKA PD,0,2,0,8,28,20,14,72,2852,2019,Polk County
SAN JACINTO CO SO,0,26,1,17,115,173,42,374,28832,2019,San Jacinto County
HUNTSVILLE PD,0,23,23,151,114,546,62,919,41881,2019,Walker County
WALKER CO SO,0,11,3,38,62,94,32,240,30689,2019,Walker County
BROOKSHIRE PD,0,5,4,14,12,60,10,105,5592,2019,Waller County
WALLER CO SO,1,18,7,22,83,163,32,326,28680,2019,Waller County
TX A&M UNIV: PRAIRIE VIEW PD,0,11,3,4,18,76,12,124,0,2019,Waller County
HEMPSTEAD PD,2,6,7,44,25,113,10,207,8426,2019,Waller County
WALLER PD,0,0,0,4,5,38,7,54,3611,2019,Waller County
PRAIRIE VIEW PD,0,0,2,3,11,19,1,36,6543,2019,Waller County
BRENHAM PD,0,15,6,72,63,276,22,454,17375,2019,Washington County
WASHINGTON CO SO,0,11,2,37,47,79,14,190,17691,2019,Washington County
WHARTON PD,0,4,13,23,40,156,13,249,8627,2019,Wharton County
WHARTON CO SO,1,10,4,46,73,126,30,290,21158,2019,Wharton County
WHARTON ISD PD,0,0,0,0,0,0,0,0,0,2019,Wharton County
EL CAMPO PD,0,4,8,34,64,277,18,405,11615,2019,Wharton County
BELLVILLE PD,1,0,1,15,12,30,5,64,4233,2020,Austin County
SEALY ISD PD,0,0,0,0,1,0,0,1,0,2020,Austin County
AUSTIN CO SO,1,3,1,9,18,44,17,93,18095,2020,Austin County
WALLIS PD,1,2,0,4,7,4,3,21,1309,2020,Austin County
SEALY PD,0,1,1,5,34,55,6,102,6484,2020,Austin County
OYSTER CREEK PD,0,4,0,6,1,10,4,25,1203,2020,Brazoria County
SWEENY PD,0,2,2,5,17,48,2,76,3716,2020,Brazoria County
WEST COLUMBIA PD,0,1,0,3,2,19,2,27,3823,2020,Brazoria County
MANVEL PD,0,5,2,10,20,64,7,108,13971,2020,Brazoria County
SURFSIDE BEACH PD,0,1,1,4,2,19,8,35,591,2020,Brazoria County
DANBURY PD (NR),0,0,0,0,0,1,0,1,1765,2020,Brazoria County
ANGLETON ISD PD,0,0,0,3,1,3,0,7,0,2020,Brazoria County
ANGLETON PD,0,14,4,20,18,259,22,337,19500,2020,Brazoria County
BRAZOSPORT ISD PD,0,1,0,3,2,5,0,11,0,2020,Brazoria County
COLUMBIA-BRAZORIA ISD PD,0,0,0,0,0,0,0,0,0,2020,Brazoria County
PEARLAND PD,3,30,34,61,181,1502,122,1933,126111,2020,Brazoria County
ALVIN PD,0,18,13,53,70,607,58,819,27015,2020,Brazoria County
BRAZORIA CO SO,5,13,35,181,212,792,182,1420,123459,2020,Brazoria County
CLUTE PD,1,9,9,17,51,123,25,235,11742,2020,Brazoria County
ALVIN ISD PD,0,0,0,1,2,40,0,43,0,2020,Brazoria County
RICHWOOD PD,1,5,0,1,6,49,1,63,4044,2020,Brazoria County
FREEPORT PD,1,3,2,42,49,174,1,272,12144,2020,Brazoria County
JONES CREEK PD (NR),0,0,0,2,2,16,2,22,2079,2020,Brazoria County
BROOKSIDE VILLAGE PD (NR),0,1,1,1,5,9,2,19,1583,2020,Brazoria County
LAKE JACKSON PD,2,9,3,34,46,511,56,661,27265,2020,Brazoria County
BRAZORIA PD,0,0,1,6,6,30,6,49,3059,2020,Brazoria County
IOWA COLONY PD,0,2,1,3,15,21,5,47,3686,2020,Brazoria County
COLLEGE STATION PD,2,67,28,137,326,1787,214,2561,120831,2020,Brazos County
BRYAN PD,7,104,49,305,280,1303,136,2184,87435,2020,Brazos County
BRAZOS CO SO,0,9,2,19,53,213,24,320,24221,2020,Brazos County
TX A&M UNIV: COLLEGE STATION PD,0,4,1,7,16,191,28,247,0,2020,Brazos County
CHAMBERS CO SO,4,13,7,97,102,415,66,704,33564,2020,Chambers County
MONT BELVIEU PD,0,3,1,9,13,93,32,151,6954,2020,Chambers County
BARBERS HILL ISD PD,0,0,0,0,2,1,0,3,0,2020,Chambers County
RICHMOND PD,0,7,14,29,28,144,25,247,12630,2020,Fort Bend County
FULSHEAR PD,0,0,0,3,6,46,5,60,14094,2020,Fort Bend County
STAFFORD PD,1,11,19,30,52,463,73,649,17423,2020,Fort Bend County
SUGAR LAND PD,4,10,20,37,111,1080,89,1351,119671,2020,Fort Bend County
NEEDVILLE PD,0,0,0,2,0,4,0,6,3121,2020,Fort Bend County
MEADOWS PLACE PD,0,0,4,2,10,128,1,145,4587,2020,Fort Bend County
ARCOLA PD,0,0,2,1,9,27,5,44,2811,2020,Fort Bend County
FORT BEND CO SO,11,151,115,726,675,3667,365,5710,507976,2020,Fort Bend County
MISSOURI CITY PD,2,15,41,72,88,550,54,822,76476,2020,Fort Bend County
ROSENBERG PD,4,32,26,98,145,418,65,788,39162,2020,Fort Bend County
FORT BEND ISD PD,0,0,4,39,8,79,2,132,0,2020,Fort Bend County
COLLEGE OF THE MAINLAND PD (NR),0,0,0,0,0,0,0,0,0,2020,Galveston County
LA MARQUE PD,4,12,24,81,116,620,76,933,17656,2020,Galveston County
KEMAH PD,0,3,0,5,11,76,6,101,2046,2020,Galveston County
UNIV OF TX: MEDICAL BRANCH PD,0,1,0,4,7,70,1,83,0,2020,Galveston County
GALVESTON CO SO,5,37,11,93,136,422,115,819,42513,2020,Galveston County
GALVESTON PD,6,84,65,177,212,1220,252,2016,50751,2020,Galveston County
SANTA FE ISD PD,0,0,1,6,0,8,0,15,0,2020,Galveston County
GALVESTON ISD PD,0,0,0,5,2,7,0,14,0,2020,Galveston County
HITCHCOCK PD,0,2,2,14,38,53,12,121,8023,2020,Galveston County
BAYOU VISTA PD (NR),0,0,0,1,3,14,2,20,1644,2020,Galveston County
DICKINSON PD,1,15,13,49,118,246,48,490,21364,2020,Galveston County
FRIENDSWOOD PD,0,6,4,26,41,171,25,273,40795,2020,Galveston County
TX A&M UNIV: GALVESTON PD (NR),0,0,0,0,1,5,0,6,0,2020,Galveston County
LEAGUE CITY PD,1,40,25,65,169,1203,125,1628,110518,2020,Galveston County
SANTA FE PD,0,22,4,8,41,107,24,206,13577,2020,Galveston County
JAMAICA BEACH PD,0,0,0,4,5,1,2,12,1089,2020,Galveston County
TEXAS CITY PD,11,36,29,103,188,1045,167,1579,50660,2020,Galveston County
NAVASOTA PD,0,10,11,32,63,112,31,259,8104,2020,Grimes County
GRIMES CO SO,0,7,0,20,45,60,26,158,20941,2020,Grimes County
RICE UNIV PD,0,0,1,0,14,80,7,102,0,2020,Harris County
SPRING BRANCH ISD PD,0,1,1,1,4,27,1,35,0,2020,Harris County
PASADENA ISD PD,0,0,1,0,10,20,2,33,0,2020,Harris County
JACINTO CITY PD,0,1,10,4,23,246,48,332,10455,2020,Harris County
LA PORTE PD,0,14,12,55,64,323,55,523,35102,2020,Harris County
HOUSTON ISD PD,0,2,4,9,93,116,8,232,0,2020,Harris County
UNIV OF ST. THOMAS PD,0,0,1,1,0,9,2,13,0,2020,Harris County
PORT OF HOUSTON AUTH PD,0,0,0,1,0,7,1,9,0,2020,Harris County
UNIV OF HOUSTON PD,0,5,4,3,26,208,38,284,0,2020,Harris County
ALIEF ISD PD,0,0,1,9,7,35,2,54,0,2020,Harris County
TOMBALL PD,0,3,9,32,25,245,56,370,11901,2020,Harris County
JERSEY VILLAGE PD,0,2,7,8,60,152,52,281,7921,2020,Harris County
HOUSTON PD,414,1286,8745,19235,15869,67851,14923,128323,2346155,2020,Harris County
WEBSTER PD,0,7,26,38,89,614,89,863,11545,2020,Harris County
HOUSTON BAPTIST UNIV PD,0,0,0,1,5,5,0,11,0,2020,Harris County
HUMBLE PD,3,37,48,77,89,1051,203,1508,15901,2020,Harris County
KATY PD,0,11,12,24,50,611,62,770,22797,2020,Harris County
UNIV OF HOUSTON: CLEAR LAKE PD,0,1,0,0,0,11,0,12,0,2020,Harris County
HARRIS CO SO,125,1021,2078,5601,6598,30431,6851,52705,1965544,2020,Harris County
DEER PARK PD,0,14,8,25,63,467,43,620,33631,2020,Harris County
BAYTOWN PD,9,42,83,202,390,2110,421,3257,77823,2020,Harris County
BELLAIRE PD,0,2,13,11,36,215,10,287,19210,2020,Harris County
NASSAU BAY PD,1,2,3,11,32,56,11,116,3968,2020,Harris County
HEDWIG VILLAGE PD,0,0,2,3,3,150,10,168,2643,2020,Harris County
TEXAS SOUTHERN UNIV PD,0,2,1,3,11,72,8,97,0,2020,Harris County
HUMBLE ISD PD,1,0,0,1,5,38,0,45,0,2020,Harris County
WEST UNIVERSITY PLACE PD,0,0,5,0,22,115,9,151,15700,2020,Harris County
KLEIN ISD PD,0,3,0,3,3,64,0,73,0,2020,Harris County
UNIV OF  HOUSTON:  DOWNTOWN PD,0,0,0,0,0,3,0,3,0,2020,Harris County
HOUSTON METRO TRANSIT PD,0,0,3,3,0,48,2,56,0,2020,Harris County
MEMORIAL VILLAGES PD,0,0,2,1,7,66,6,82,12375,2020,Harris County
GALENA PARK PD,1,2,3,22,28,93,34,183,10740,2020,Harris County
SAN JACINTO COLLEGE PD,0,0,0,0,1,13,2,16,0,2020,Harris County
ALDINE ISD PD,0,0,2,1,8,37,0,48,0,2020,Harris County
PASADENA PD,8,80,160,617,422,2507,622,4416,151421,2020,Harris County
SEABROOK PD,0,21,3,24,33,146,30,257,14415,2020,Harris County
SOUTH HOUSTON PD,4,2,38,50,73,306,121,594,17485,2020,Harris County
SPRING VALLEY VILLAGE PD,0,0,0,1,2,65,14,82,4389,2020,Harris County
KATY ISD PD,0,6,2,3,1,119,0,131,0,2020,Harris County
HOUSTON COMM COLLEGE PD,0,0,0,1,4,46,4,55,0,2020,Harris County
SPRING ISD PD,0,2,0,3,5,20,0,30,0,2020,Harris County
LAKEVIEW PD,0,0,1,5,11,51,5,73,6231,2020,Harris County
LONE STAR COLLEGE PD,0,0,0,0,4,7,3,14,0,2020,Harris County
UNIV OF TX: HOUSTON  PD,0,2,1,3,7,236,13,262,0,2020,Harris County
SOUTHSIDE PLACE PD,0,0,0,3,0,11,0,14,1902,2020,Harris County
LIBERTY CO SO,11,52,14,173,204,323,187,964,63237,2020,Liberty County
LIBERTY PD,0,3,0,23,11,123,12,172,9418,2020,Liberty County
DAYTON PD,0,1,1,7,26,122,21,178,8510,2020,Liberty County
CLEVELAND PD (NR),3,0,3,42,48,261,37,394,8285,2020,Liberty County
MATAGORDA CO SO,2,12,3,54,56,181,41,349,14490,2020,Matagorda County
VAN VLECK ISD PD,0,0,0,0,0,4,0,4,0,2020,Matagorda County
BAY CITY ISD PD,0,0,0,2,0,9,0,11,0,2020,Matagorda County
PALACIOS PD,0,3,2,13,11,51,2,82,4516,2020,Matagorda County
BAY CITY PD,7,20,11,56,101,495,22,712,17505,2020,Matagorda County
OAK RIDGE NORTH PD,0,1,2,3,7,43,4,60,3171,2020,Montgomery County
MONTGOMERY CO SO,14,61,92,643,793,3039,525,5167,498315,2020,Montgomery County
MONTGOMERY PD,0,1,2,4,5,13,3,28,1488,2020,Montgomery County
WILLIS PD,0,5,4,26,17,114,18,184,7166,2020,Montgomery County
SPLENDORA PD,0,0,0,6,7,17,5,35,2337,2020,Montgomery County
MAGNOLIA PD,0,0,3,5,9,20,4,41,2193,2020,Montgomery County
CONROE ISD PD,0,6,1,2,7,40,3,59,0,2020,Montgomery County
CONROE PD,2,35,47,91,248,1927,177,2527,94451,2020,Montgomery County
PATTON VILLAGE PD,0,3,1,5,5,7,1,22,2228,2020,Montgomery County
ROMAN FOREST PD,0,0,1,2,0,18,1,22,2058,2020,Montgomery County
MONTGOMERY ISD PD,0,0,0,0,0,1,0,1,0,2020,Montgomery County
SHENANDOAH PD,1,4,3,5,11,170,21,215,3098,2020,Montgomery County
LIVINGSTON PD,0,1,5,16,10,228,15,275,5240,2020,Polk County
CORRIGAN PD,1,0,1,1,2,13,4,22,1613,2020,Polk County
POLK CO SO,5,22,8,43,170,311,66,625,42021,2020,Polk County
ONALASKA PD,0,4,1,10,10,24,8,57,3006,2020,Polk County
SAN JACINTO CO SO,0,31,1,6,325,318,68,749,29039,2020,San Jacinto County
HUNTSVILLE PD,1,24,20,114,96,510,70,835,42648,2020,Walker County
WALKER CO SO,0,8,4,49,58,102,24,245,30618,2020,Walker County
BROOKSHIRE PD,1,4,2,13,13,46,8,87,5948,2020,Waller County
WALLER CO SO,1,27,12,20,86,179,21,346,29516,2020,Waller County
TX A&M UNIV: PRAIRIE VIEW PD,0,4,1,2,24,51,2,84,0,2020,Waller County
HEMPSTEAD PD,0,4,9,34,16,82,12,157,8699,2020,Waller County
WALLER PD,0,3,5,10,14,28,10,70,3654,2020,Waller County
PRAIRIE VIEW PD,1,2,5,15,26,23,7,79,7126,2020,Waller County
BRENHAM PD,0,16,5,30,37,253,18,359,18106,2020,Washington County
WASHINGTON CO SO,1,8,3,31,26,65,10,144,17904,2020,Washington County
WHARTON CO SO,0,1,3,54,77,174,36,345,21310,2020,Wharton County
WHARTON PD,0,1,5,18,38,109,13,184,8612,2020,Wharton County
WHARTON ISD PD,0,0,0,0,0,0,0,0,0,2020,Wharton County
EL CAMPO PD,2,7,7,47,44,278,35,420,11523,2020,Wharton County
